Order,variable,domain,type,stat_label,question,PRG,DSA,LIB,SD,STY,CTR,REF,CON,NAT,SD/LIB,SD/STY,STY/SD,LIB/CTR,SD/CTR,SD/CON,CON/SD,STY/CON,CON/STY,STY/REF,CON/CTR,REF/STY,CON/REF,CON/NAT,Max,Mid,Low
65,CC24_440c,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Women seek to gain power by getting control over men,4.8369,4.7164,4.4205,3.918,3.326,3.2341,2.8228,3.0973,2.6119,4.1692,3.7217,3.622,3.9459,3.5761,3.5247,3.4629,3.2328,3.1934,3.0996,3.1489,3.0084,3.0122,2.8595,,,
288,CC24_440c,Racial & Gender,binary_agree,% Agreeing,Women seek to gain power by getting control over men,0.04,0.43,3.45,11.12,24.5,29.21,41.07,30.87,48.92,7.285,15.5568,17.81,13.754,20.165,20.5842,22.0713,27.0971,28.1946,31.9565,30.2443,34.9573,34.032,39.7145,,,
71,CC24_440d,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Women are too easily offended,4.6985,4.5808,4.1691,3.7287,3.1194,2.8954,2.4685,2.5764,2.0821,3.9489,3.5267,3.4241,3.6596,3.3121,3.1765,3.0897,2.898,2.8045,2.8265,2.6966,2.7086,2.543,2.3342,,,
289,CC24_440d,Racial & Gender,binary_agree,% Agreeing,Women are too easily offended,0.85,3.79,9.18,17.47,32.74,42.99,55.45,52.02,69.19,13.325,22.5336,25.105,22.704,30.23,34.0264,36.628,40.6004,43.9224,42.9595,48.6166,47.0723,53.0833,60.4333,,,
77,CC24_441a,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Minorities should work their way up without special favors,4.6341,4.4872,3.8451,3.4333,2.8818,2.2248,1.9589,1.8511,1.4892,3.6392,3.2504,3.1576,3.197,2.8291,2.6751,2.556,2.4616,2.284,2.4665,1.9919,2.2994,1.8845,1.6738,,,
290,CC24_441a,Racial & Gender,binary_agree,% Agreeing,Minorities should work their way up without special favors,2.25,3.43,15.49,23.41,38.62,63.86,71.13,76.69,87.58,19.45,28.4536,31.015,34.838,43.635,48.9418,52.9537,54.1412,60.7006,53.2495,71.8544,59.137,74.9664,82.0261,,,
83,CC24_441b,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Slavery/discrimination makes it hard for Blacks to rise,1.2508,1.3499,1.829,2.176,2.5874,3.1982,3.7137,3.8116,4.4692,2.0025,2.3124,2.3817,2.3767,2.6871,2.9598,3.0829,3.0865,3.2974,3.0942,3.5804,3.2982,3.7813,4.1338,,,
291,CC24_441b,Racial & Gender,binary_agree,% Agreeing,Slavery/discrimination makes it hard for Blacks to rise,97.65,95.15,82.67,69.14,50.3,37.04,19.85,17.37,4.24,75.905,62.8926,59.72,64.418,53.09,44.3318,40.4335,36.8745,31.2006,36.5975,24.7837,31.083,18.1388,10.9363,,,
89,CC24_441e,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",I resent when Whites deny racial discrimination exists,1.2057,1.3608,1.5169,1.833,2.1083,2.2492,2.9195,2.7095,4.0418,1.6749,1.9243,1.9707,1.8098,2.0411,2.253,2.319,2.3534,2.457,2.4733,2.536,2.6202,2.7746,3.3623,,,
292,CC24_441e,Racial & Gender,binary_agree,% Agreeing,I resent when Whites deny racial discrimination exists,97.04,90.28,87.12,74.88,62.88,62.65,38.3,41.21,7.81,81,70.9008,68.88,77.332,68.765,58.7453,56.21,54.0451,50.3114,51.819,49.2907,47.3676,40.3079,24.844,,,
