diagnostic,phase,candidate_code,candidate_name,raw_votes,vote_pct,status,pod,votes_from_pod,pod_total_votes,pct_of_pod,finalist_national_total,pct_of_finalist_total,straddler_code,straddler_name,platonic_code,platonic_name,platonic_secondary_code,straddler_pct,platonic_pct,platonic_secondary_pct,delta_vs_primary,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
condorcet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON_SD,STY_REF,30086.9067,15544.2355,CON_SD,14542.6712,31.8701,1.0,True,SD_CON
condorcet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD_CON,STY_REF,30077.7881,15553.3542,SD_CON,14524.4339,31.8301,2.0,True,SD_CON
condorcet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD_CON,SD_CTR,27288.3051,18342.8372,SD_CON,8945.4679,19.6039,3.0,True,SD_CON
condorcet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON_SD,SD_CTR,26374.1495,19256.9928,CON_SD,7117.1567,15.5971,4.0,True,SD_CON
condorcet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON_SD,CON_STY,25508.8354,20122.3068,CON_SD,5386.5286,11.8045,5.0,True,SD_CON
condorcet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON_STY,STY_REF,25153.3631,20477.7792,CON_STY,4675.5839,10.2465,6.0,True,SD_CON
condorcet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON_STY,SD_CON,20639.4347,24991.7075,SD_CON,4352.2728,9.5379,7.0,True,SD_CON
condorcet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD_CTR,STY_REF,24964.9496,20666.1927,SD_CTR,4298.7569,9.4207,8.0,True,SD_CON
condorcet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON_STY,SD_CTR,23925.8299,21705.3123,CON_STY,2220.5176,4.8662,9.0,True,SD_CON
condorcet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON_SD,SD_CON,22417.6702,23213.472,SD_CON,795.8018,1.744,10.0,True,SD_CON
